Team,Salary,Projected Next Year,Year
Memphis,"$110,700,149","$137,884,954",2017
Denver,"$107,543,599","$133,953,246",2017
Utah,"$105,606,838","$131,540,873",2017
New York,"$105,403,130","$131,287,140",2017
LA Lakers,"$103,126,557","$128,451,503",2017
Philadelphia,"$100,797,386","$125,550,355",2017
Atlanta,"$99,992,696","$124,548,054",2017
Sacramento,"$99,587,185","$124,042,963",2017
Orlando,"$98,700,258","$122,938,234",2017
Brooklyn,"$95,475,397","$118,921,438",2017
Indiana,"$95,271,736","$118,667,761",2017
Phoenix,"$92,684,083","$115,444,654",2017
Chicago,"$90,466,801","$112,682,869",2017
Dallas,"$85,440,245","$106,421,937",2017
Miami,"$153,171,497","$185,460,477",2018
Golden State,"$146,291,276","$177,129,886",2018
Oklahoma City,"$144,916,427","$175,465,213",2018
Toronto,"$137,793,831","$166,841,157",2018
Milwaukee,"$130,988,604","$158,601,366",2018
Portland,"$130,256,600","$157,715,055",2018
Detroit,"$126,557,932","$153,236,694",2018
Houston,"$126,474,100","$153,135,190",2018
Boston,"$125,334,993","$151,755,957",2018
Memphis,"$125,188,633","$151,578,742",2018
Washington,"$123,747,588","$149,833,921",2018
New York,"$123,387,454","$149,397,869",2018
Cleveland,"$123,255,073","$149,237,583",2018
Minnesota,"$121,962,221","$147,672,196",2018
San Antonio,"$121,588,790","$147,220,044",2018
Charlotte,"$121,427,859","$147,025,190",2018
Brooklyn,"$118,850,600","$143,904,634",2018
Denver,"$118,327,016","$143,270,678",2018
LA Clippers,"$118,026,816","$142,907,193",2018
New Orleans,"$116,052,756","$140,516,999",2018
Philadelphia,"$115,127,167","$139,396,292",2018
Orlando,"$114,394,213","$138,508,829",2018
Utah,"$113,826,156","$137,821,025",2018
Chicago,"$112,598,201","$136,334,209",2018
Indiana,"$110,724,804","$134,065,894",2018
Phoenix,"$108,692,835","$131,605,581",2018
LA Lakers,"$107,225,482","$129,828,909",2018
Sacramento,"$101,466,920","$122,856,426",2018
Dallas,"$86,958,881","$105,290,052",2018
Atlanta,"$79,180,081","$95,871,454",2018
Oklahoma City,"$132,017,938","$157,255,357",2019
Portland,"$131,979,953","$157,210,110",2019
LA Clippers,"$131,506,341","$156,645,959",2019
Cleveland,"$131,059,022","$156,113,126",2019
Philadelphia,"$129,912,339","$154,747,238",2019
Miami,"$129,867,871","$154,694,268",2019
Golden State,"$129,254,928","$153,964,152",2019
Denver,"$128,746,180","$153,358,147",2019
Houston,"$128,109,922","$152,600,258",2019
Orlando,"$126,095,610","$150,200,877",2019
LA Lakers,"$123,971,686","$147,670,928",2019
Milwaukee,"$122,612,183","$146,051,535",2019
Toronto,"$122,463,495","$145,874,420",2019
Washington,"$121,296,256","$144,484,046",2019
Dallas,"$120,871,082","$143,977,595",2019
San Antonio,"$119,217,331","$142,007,698",2019
Utah,"$118,910,311","$141,641,988",2019
Brooklyn,"$118,889,943","$141,617,727",2019
New Orleans,"$117,868,297","$140,400,776",2019
Boston,"$117,759,332","$140,270,982",2019
Minnesota,"$114,202,982","$136,034,777",2019
Sacramento,"$113,796,966","$135,551,141",2019
Indiana,"$112,872,260","$134,449,664",2019
Chicago,"$112,601,901","$134,127,618",2019
Atlanta,"$110,702,618","$131,865,260",2019
Detroit,"$104,527,576","$124,509,753",2019
New York,"$100,232,129","$119,393,160",2019
Phoenix,"$98,539,675","$117,377,165",2019
Memphis,"$98,495,848","$117,324,961",2019
Charlotte,"$96,552,033","$115,009,553",2019
Golden State,"$171,105,334","$202,507,304",2020
Brooklyn,"$170,444,633","$201,725,345",2020
Philadelphia,"$147,825,311","$174,954,830",2020
LA Clippers,"$139,722,606","$165,365,082",2020
LA Lakers,"$139,334,713","$164,906,001",2020
Utah,"$136,881,324","$162,002,356",2020
Milwaukee,"$136,623,929","$161,697,720",2020
Miami,"$134,731,235","$159,457,673",2020
New Orleans,"$133,901,495","$158,475,655",2020
Boston,"$132,931,565","$157,327,721",2020
Memphis,"$132,022,601","$156,251,937",2020
Portland,"$131,904,647","$156,112,338",2020
Houston,"$131,784,255","$155,969,849",2020
Washington,"$131,294,012","$155,389,636",2020
Minnesota,"$130,334,934","$154,254,547",2020
Indiana,"$130,237,102","$154,138,758",2020
Denver,"$129,793,210","$153,613,401",2020
Cleveland,"$129,605,319","$153,391,029",2020
San Antonio,"$129,537,825","$153,311,146",2020
Toronto,"$129,131,910","$152,830,736",2020
Chicago,"$128,963,580","$152,631,513",2020
Phoenix,"$128,858,241","$152,506,844",2020
Dallas,"$127,657,823","$151,086,118",2020
Orlando,"$121,739,163","$144,081,242",2020
Atlanta,"$118,804,016","$140,607,425",2020
Detroit,"$117,041,599","$138,521,558",2020
Charlotte,"$108,218,809","$128,079,577",2020
Sacramento,"$106,847,430","$126,456,514",2020
New York,"$102,137,151","$120,881,782",2020
Oklahoma City,"$95,774,839","$113,351,829",2020
Golden State,"$178,980,766","$200,991,697",2021
Brooklyn,"$174,811,922","$196,310,168",2021
LA Clippers,"$168,378,382","$189,085,437",2021
LA Lakers,"$164,409,293","$184,628,228",2021
Milwaukee,"$160,875,421","$180,659,762",2021
Utah,"$149,760,719","$168,178,186",2021
Philadelphia,"$148,922,969","$167,237,408",2021
Miami,"$140,840,240","$158,160,668",2021
Indiana,"$138,181,486","$155,174,941",2021
Denver,"$137,963,926","$154,930,630",2021
Minnesota,"$137,432,702","$154,334,075",2021
Boston,"$136,557,646","$153,351,404",2021
Phoenix,"$136,476,474","$153,260,253",2021
Cleveland,"$136,385,911","$153,158,551",2021
Chicago,"$136,083,814","$152,819,302",2021
New Orleans,"$135,793,968","$152,493,812",2021
Atlanta,"$135,166,020","$151,788,639",2021
Toronto,"$134,896,484","$151,485,952",2021
Houston,"$132,267,085","$148,533,194",2021
Detroit,"$131,120,355","$147,245,439",2021
Sacramento,"$130,457,848","$146,501,460",2021
Washington,"$128,019,790","$143,763,568",2021
San Antonio,"$127,655,401","$143,354,367",2021
Orlando,"$126,786,646","$142,378,773",2021
Dallas,"$126,696,965","$142,278,062",2021
Portland,"$124,788,473","$140,134,868",2021
Charlotte,"$122,139,566","$137,160,202",2021
New York,"$120,644,081","$135,480,801",2021
Memphis,"$117,284,457","$131,708,009",2021
Oklahoma City,"$82,022,873","$92,109,977",2021
LA Clippers,"$192,905,421","$198,633,116",2022
Golden State,"$192,386,134","$198,098,410",2022
Milwaukee,"$182,930,771","$188,362,302",2022
Boston,"$178,633,307","$183,937,239",2022
Dallas,"$177,244,238","$182,506,921",2022
Phoenix,"$176,042,453","$181,269,456",2022
LA Lakers,"$169,391,473","$174,420,997",2022
Denver,"$162,338,665","$167,158,779",2022
Brooklyn,"$159,566,723","$164,304,533",2022
Washington,"$152,008,934","$156,522,337",2022
Cleveland,"$151,966,241","$156,478,380",2022
Chicago,"$151,964,990","$156,477,089",2022
Miami,"$151,408,266","$155,903,837",2022
Toronto,"$150,992,313","$155,475,530",2022
Philadelphia,"$150,496,913","$154,965,424",2022
Atlanta,"$149,836,313","$154,285,207",2022
New York,"$148,987,936","$153,411,642",2022
Oklahoma City,"$148,856,338","$153,276,136",2022
Utah,"$148,738,241","$153,154,530",2022
New Orleans,"$148,360,910","$152,766,000",2022
Minnesota,"$145,793,656","$150,122,517",2022
Portland,"$144,997,250","$149,302,464",2022
Sacramento,"$139,423,615","$143,563,336",2022
Houston,"$137,579,793","$141,664,770",2022
Detroit,"$129,153,570","$132,988,358",2022
Memphis,"$127,139,520","$130,914,509",2022
Orlando,"$126,107,324","$129,851,664",2022
Charlotte,"$125,874,047","$129,611,460",2022
Indiana,"$125,706,114","$129,438,540",2022
San Antonio,"$104,545,376","$107,649,501",2022
Golden State,"$209,343,129","$174,818,460",2023
LA Clippers,"$202,170,191","$170,345,074",2023
Phoenix,"$193,226,132","$190,268,181",2023
Milwaukee,"$187,205,120","$183,466,689",2023
Boston,"$185,601,028","$197,012,551",2023
Denver,"$181,922,992","$188,552,127",2023
Miami,"$176,408,726","$180,178,330",2023
LA Lakers,"$169,793,366","$178,753,952",2023
Cleveland,"$166,274,736","$146,521,939",2023
Dallas,"$166,180,546","$171,176,442",2023
New Orleans,"$165,839,581","$148,122,338",2023
Chicago,"$165,596,216","$132,153,794",2023
Minnesota,"$165,556,985","$176,345,709",2023
Portland,"$165,257,649","$161,144,657",2023
Philadelphia,"$165,153,274","$59,138,938",2023
New York,"$164,827,007","$142,856,508",2023
Toronto,"$163,490,284","$80,051,246",2023
Memphis,"$161,749,978","$161,272,159",2023
Oklahoma City,"$159,887,578","$97,224,764",2023
Atlanta,"$158,465,122","$163,292,530",2023
Sacramento,"$154,864,021","$152,117,412",2023
Brooklyn,"$154,583,364","$132,840,239",2023
Houston,"$150,456,730","$129,704,666",2023
Indiana,"$147,796,992","$105,456,907",2023
Washington,"$146,022,834","$126,667,149",2023
San Antonio,"$142,129,042","$115,915,954",2023
Detroit,"$137,998,244","$68,003,784",2023
Charlotte,"$136,784,727","$110,736,480",2023
Orlando,"$132,643,598","$85,511,895",2023
Utah,"$132,474,105","$92,921,090",2023
