Year,Team,Acquired_Count,Relinquished_Count
2017,Raptors,23.0,0.0
2017,Rockets,35.0,0.0
2017,Spurs,69.0,0.0
2017,Suns,26.0,0.0
2017,Thunder,21.0,0.0
2017,Timberwolves,0.0,14.0
2017,Warriors,54.0,0.0
2017,Wizards,31.0,0.0
2018,76ers,56.0,0.0
2018,Blazers,25.0,0.0
2018,Bucks,39.0,0.0
2018,Bulls,0.0,37.0
2018,Cavaliers,42.0,0.0
2018,Celtics,52.0,0.0
2018,Clippers,0.0,25.0
2018,Grizzlies,0.0,65.0
2018,Hawks,38.0,0.0
2018,Heat,32.0,0.0
2018,Hornets,25.0,0.0
2018,Jazz,0.0,37.0
2018,Kings,0.0,50.0
2018,Knicks,40.0,0.0
2018,Lakers,0.0,47.0
2018,Magic,27.0,0.0
2018,Mavericks,0.0,47.0
2018,Nets,38.0,0.0
2018,Nuggets,35.0,0.0
2018,Pacers,37.0,0.0
2018,Pelicans,0.0,15.0
2018,Pistons,27.0,0.0
2018,Raptors,44.0,0.0
2018,Rockets,42.0,0.0
2018,Spurs,0.0,55.0
2018,Suns,0.0,54.0
2018,Thunder,28.0,0.0
2018,Timberwolves,0.0,16.0
2018,Warriors,77.0,0.0
2018,Wizards,0.0,28.0
2019,76ers,47.0,0.0
2019,Blazers,27.0,0.0
2019,Bucks,30.0,0.0
2019,Bulls,0.0,18.0
2019,Cavaliers,21.0,0.0
2019,Celtics,61.0,0.0
2019,Clippers,13.0,0.0
2019,Grizzlies,0.0,38.0
2019,Hawks,34.0,0.0
2019,Heat,16.0,0.0
2019,Hornets,0.0,31.0
2019,Jazz,25.0,0.0
2019,Kings,0.0,20.0
2019,Knicks,0.0,34.0
2019,Lakers,0.0,23.0
2019,Magic,23.0,0.0
2019,Mavericks,36.0,0.0
2019,Nets,0.0,31.0
2019,Nuggets,14.0,0.0
2019,Pacers,29.0,0.0
2019,Pelicans,0.0,26.0
2019,Pistons,31.0,0.0
2019,Raptors,39.0,0.0
2019,Rockets,31.0,0.0
2019,Spurs,0.0,15.0
2019,Suns,19.0,0.0
2019,Thunder,0.0,12.0
2019,Timberwolves,25.0,0.0
2019,Warriors,0.0,47.0
2019,Wizards,0.0,21.0
2020,76ers,23.0,0.0
2020,Blazers,7.0,0.0
2020,Bucks,37.0,0.0
2020,Bulls,17.0,0.0
2020,Cavaliers,23.0,0.0
