Yr,Tm,FG%,3P%,2P%,Age,ORtg,DRtg,NRtg,Pace,3PAr,TS%,eFG%,TOV%,ORB%,eFG%,TOV%,DRB%,Championship
2020,Miami Heat,0.46,0.359,0.536,27.1,113.5,111.5,2,95.9,0.433,0.587,0.537,12.3,19.1,0.529,13,77.3,N
2020,Milwaukee Bucks,0.46,0.358,0.536,29.8,109.7,108.5,1.2,100.3,0.426,0.568,0.537,13.2,20.5,0.527,13.5,83.8,N
2020,Oklahoma City Thunder,0.43,0.328,0.506,25.7,102.4,108.7,-6.3,100.1,0.428,0.542,0.5,15,20.1,0.535,11.5,84.6,N
2020,Orlando Magic,0.42,0.377,0.455,27,102.5,111.3,-8.8,104.4,0.449,0.547,0.505,13,13.5,0.572,14.5,82,N
2020,Philadelphia 76ers,0.396,0.264,0.47,26.4,105.5,117.9,-12.4,95.2,0.36,0.512,0.443,10.9,26.8,0.523,9.7,77.6,N
2020,Portland Trail Blazers,0.426,0.379,0.451,26.6,104.6,115,-10.4,101.9,0.347,0.537,0.492,13.9,21.4,0.552,13,72.7,N
2020,Toronto Raptors,0.442,0.363,0.508,27.1,108.3,104.2,4.1,99.1,0.455,0.559,0.525,11.8,17.6,0.507,13.7,82.2,N
2020,Utah Jazz,0.487,0.421,0.542,26.8,122.2,118.5,3.7,91.5,0.455,0.616,0.583,11.5,22.8,0.554,11.4,75.1,N
2019,Boston Celtics,0.424,0.343,0.476,26.2,102.2,103.6,-1.4,99.9,0.392,0.539,0.491,13.5,16.6,0.491,10.9,82.4,N
2019,Brooklyn Nets,0.42,0.324,0.477,25.3,106.7,117.3,-10.6,104.4,0.372,0.534,0.48,12,22.6,0.542,13.3,67.9,N
2019,Denver Nuggets,0.442,0.344,0.486,25.4,114.4,112.5,1.9,92.6,0.308,0.538,0.495,8.7,27.3,0.497,8.8,74.8,N
2019,Detroit Pistons,0.388,0.331,0.417,26.5,96.8,120.2,-23.4,101.3,0.344,0.471,0.444,9.2,19.8,0.583,12.8,76.4,N
2019,Golden State Warriors,0.477,0.372,0.541,29.1,115.3,111.9,3.4,98.1,0.38,0.589,0.548,13.3,24.8,0.522,13.1,76.6,N
2019,Houston Rockets,0.444,0.366,0.524,29.5,110.9,107.6,3.3,97,0.51,0.574,0.537,14.3,23.1,0.499,12.9,75,N
2019,Indiana Pacers,0.401,0.336,0.437,27.7,96.3,104.2,-7.9,95.3,0.356,0.496,0.461,11.5,16.6,0.517,15.2,81.1,N
2019,Los Angeles Clippers,0.447,0.363,0.493,26.7,111.5,121,-9.5,102.9,0.355,0.563,0.511,12.8,21.9,0.574,12.5,74.5,N
2019,Milwaukee Bucks,0.45,0.336,0.536,27.6,111.1,102.5,8.6,100.1,0.431,0.56,0.523,11.3,21.5,0.474,10.8,83,N
